,dyn,ip,REG_RDI,REG_RSI,REG_RBP,REG_RSP,REG_RBX,REG_RDX,REG_RCX,REG_RAX,REG_SEG_CS,REG_SEG_SS,REG_SEG_DS,REG_SEG_ES,REG_SEG_FS,REG_SEG_GS,REG_RFLAGS,REG_RIP,memread_addr_1,read_size_1,mem_val_1,displacement_1,base_reg_1,index_reg_1,scale_1,memread_addr_2,read_size_2,mem_val_2,displacement_2,base_reg_2,index_reg_2,scale_2,memwrite_addr,read_size,mem_val,displacement,base_reg,index_reg,scale,Unnamed: 39,num,dyn,ip,reg,bit,left,right,result
47,47,4196409,1,1,140724770315088,140724770315008,0,1,1,1,51,43,0,0,0,0,582,4196409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315064,4,1,4294967272,5,0,1,,47,32,4196359,4,-2,30,32,1
48,48,4196412,1,1,140724770315088,140724770315008,0,1,1,1,51,43,0,0,0,0,582,4196412,140724770315068,4,1,4294967276,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,48,41,4196391,4,-2,40,41,1
49,49,4196415,1,1,140724770315088,140724770315008,0,1,1,1,51,43,0,0,0,0,582,4196415,140724770315068,4,1,4294967276,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,49,45,4196401,4,-2,44,45,1
50,50,4196418,1,1,140724770315088,140724770315008,0,1,1,1,51,43,0,0,0,0,582,4196418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,50,55,4196436,4,-2,54,55,1
51,51,4196423,1,1,140724770315088,140724770315008,0,1,1,2,51,43,0,0,0,0,514,4196423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,51,65,4196339,4,-2,63,65,1
52,52,4196429,1,1,140724770315088,140724770315008,0,1,2,2,51,43,0,0,0,0,514,4196429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,52,71,4196359,4,-2,69,71,1
53,53,4196431,2,1,140724770315088,140724770315008,0,1,2,2,51,43,0,0,0,0,514,4196431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,53,80,4196391,4,-2,79,80,1
54,54,4196433,2,2,140724770315088,140724770315008,0,1,2,2,51,43,0,0,0,0,514,4196433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315036,4,0,4294967244,5,0,1,,54,84,4196401,4,-2,83,84,1
55,55,4196436,2,2,140724770315088,140724770315008,0,1,2,2,51,43,0,0,0,0,514,4196436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315000,8,4196406,0,6,0,1,,55,94,4196436,4,-2,93,94,1
56,56,4196441,2,2,140724770315088,140724770315008,0,1,2,2,51,43,0,0,0,0,582,4196441,140724770315036,4,2,4294967244,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,56,104,4196339,4,-2,102,104,1
