,Unnamed: 0,dyn,ip_x,REG_RDI,REG_RSI,REG_RBP,REG_RSP,REG_RDX,REG_RCX,REG_RAX,REG_RFLAGS,REG_RIP,memread_addr_1,read_size_1,mem_val_1,displacement_1,base_reg_1,index_reg_1,scale_1,memwrite_addr,read_size,mem_val,displacement,base_reg,index_reg,scale, prop_his,num,ip_y,reg,left,right,result
89,89,23696,4202904,25211424,14.0,140731406239632,140731406239568,34,140731406239816.0,26.0,643,4202904,140731406239816,4,20,0,9,0,1,0,0,0,0,0,0,0,6,928199,4202904,9,23696,23696,2
90,90,23799,4203020,25211424,14.0,140731406239632,140731406239568,34,942.0,942.0,530,4203020,25212366,1,37,0,3,9,1,0,0,0,0,0,0,0,549755815704,928216,4203020,9,23798,23799,3
91,91,23929,4203013,25211424,14.0,140731406239632,140731406239568,34,140731406239816.0,1010.0,514,4203013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137438953744,1400095,4203013,10,23929,23929,3
92,92,23982,4202972,25211424,14.0,140731406239632,140731406239568,34,1024.0,1024.0,518,4202972,0,0,0,0,0,0,0,25212448,1,0,0,3,9,1,16779267,1035,4202972,3,23982,23982,2
93,93,24110,4202957,25211424,14.0,140731406239632,140731406239568,34,140731406239816.0,1095.0,518,4202957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572928,1400156,4202957,10,24110,24110,3
94,94,24368,4202887,25211424,14.0,140731406239632,140731406239568,20,140731406239812.0,2.0,514,4202887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,465623,4202887,8,24366,24368,3
95,95,25284,4203070,25211424,14.0,140731406239632,140731406239568,34,540.0,15.0,514,4203070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36028797018963971,1400565,4203070,10,25284,25284,3
96,96,25391,4202991,25211424,14.0,140731406239632,140731406239568,20,140731406239816.0,17.0,514,4202991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073741875,2011264,4202991,4,25391,25391,3
97,97,25977,4202965,25211424,14.0,140731406239632,140731406239568,34,140731406239816.0,887.0,518,4202965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6815808,1400806,4202965,10,25977,25977,3
98,98,26331,4203041,25211424,14.0,140731406239632,140731406239568,34,140731406239816.0,31.0,534,4203041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70368744177667,1400928,4203041,10,26326,26331,2
99,99,27052,4202972,25211424,14.0,140731406239632,140731406239568,34,274.0,274.0,518,4202972,0,0,0,0,0,0,0,25211698,1,165,0,3,9,1,16779267,1219,4202972,3,27052,27052,2
100,100,27105,4202930,25211424,14.0,140731406239632,140731406239568,34,317.0,317.0,514,4202930,25211741,1,42,0,3,9,1,0,0,0,0,0,0,0,3584,928763,4202930,9,27104,27105,3
101,101,27576,4202957,25211424,14.0,140731406239632,140731406239568,34,140731406239816.0,551.0,518,4202957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572928,1401360,4202957,10,27576,27576,3
102,102,27628,4202914,25211424,14.0,140731406239632,140731406239568,34,140731406239816.0,17.0,534,4202914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,1401377,4202914,10,27623,27628,3
103,103,28012,4202879,25211424,14.0,140731406239632,140731406239568,34,140731406239812.0,23.0,518,4202879,140731406239812,4,20,0,9,0,1,0,0,0,0,0,0,0,6,928915,4202879,9,28012,28012,2
104,104,28186,4203010,25211424,14.0,140731406239632,140731406239568,34,140731406239816.0,876.0,518,4203010,140731406239584,4,4,4294967248,5,0,1,0,0,0,0,0,0,0,68719476864,1401574,4203010,10,28186,28186,3
105,105,28477,4202887,25211424,14.0,140731406239632,140731406239568,20,140731406239812.0,30.0,514,4202887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2011730,4202887,4,28477,28477,3
106,106,29003,4203036,25211424,7.0,140731406239632,140731406239568,20,140731406239816.0,3.0,534,4203036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17592186044419,2011809,4203036,4,29003,29003,3
107,107,29994,4203039,25211424,14.0,140731406239632,140731406239568,20,140731406239816.0,18.0,514,4203039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35184372088833,466475,4203039,8,29992,29994,3
108,108,30045,4202991,25211424,14.0,140731406239632,140731406239568,20,140731406239816.0,19.0,514,4202991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073741875,466483,4202991,8,30043,30045,3
109,109,30134,4203063,25211424,14.0,140731406239632,140731406239568,34,712.0,712.0,514,4203063,0,0,0,0,0,0,0,25212136,1,0,0,3,9,1,9007199254741021,929267,4203063,9,30133,30134,2
110,110,30334,4203070,25211424,14.0,140731406239632,140731406239568,34,814.0,23.0,518,4203070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36028797018963971,1402321,4203070,10,30334,30334,2
111,111,30471,4202879,25211424,14.0,140731406239632,140731406239568,34,140731406239812.0,26.0,514,4202879,140731406239812,4,20,0,9,0,1,0,0,0,0,0,0,0,6,929323,4202879,9,30471,30471,2
112,112,31251,4202993,25211424,14.0,140731406239632,140731406239568,34,140731406239816.0,3.0,534,4202993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483660,466666,4202993,8,31251,31251,4
113,113,31331,4203039,25211424,14.0,140731406239632,140731406239568,20,140731406239816.0,4.0,514,4203039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35184372088833,466677,4203039,8,31329,31331,3
114,114,31539,4203070,25211424,14.0,140731406239632,140731406239568,34,271.0,7.0,518,4203070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36028797018963971,1402739,4203070,10,31539,31539,4
115,115,31747,4202891,25211424,14.0,140731406239632,140731406239568,34,140731406239812.0,11.0,643,4202891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,1905355,4202891,25,31747,31747,2
116,116,31799,4203056,25211424,14.0,140731406239632,140731406239568,34,140731406239816.0,407.0,514,4203056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2251799813685252,1402830,4203056,10,31799,31799,4
117,117,31825,4202930,25211424,14.0,140731406239632,140731406239568,34,421.0,421.0,534,4202930,25211845,1,172,0,3,9,1,0,0,0,0,0,0,0,3584,1506,4202930,3,31825,31825,2
118,118,31862,4203048,25211424,14.0,140731406239632,140731406239568,34,140731406239816.0,408.0,514,4203048,140731406239816,4,20,0,9,0,1,0,0,0,0,0,0,0,281474976710668,929553,4203048,9,31862,31862,2
119,119,32388,4203041,25211424,14.0,140731406239632,140731406239568,34,140731406239816.0,20.0,534,4203041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70368744177667,466838,4203041,8,32388,32388,3
120,120,32645,4203020,25211424,14.0,140731406239632,140731406239568,34,836.0,836.0,518,4203020,25212260,1,38,0,3,9,1,0,0,0,0,0,0,0,549755815704,929683,4203020,9,32644,32645,3
121,121,32721,4203050,25211424,14.0,140731406239632,140731406239568,34,140731406239816.0,870.0,518,4203050,140731406239588,4,7,4294967252,5,0,1,0,0,0,0,0,0,0,562949953421313,1403150,4203050,10,32721,32721,2
122,122,33983,4203687,25212613,139698204562953.0,140731406239840,140731406239648,100,0.0,36.0,518,4203687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,929838,4203687,9,33983,33983,3
123,123,34421,4203767,25212628,139698204562963.0,140731406239840,140731406239648,100,139698204554912.0,19.0,514,4203767,0,0,0,0,0,0,0,140731406239656,8,100,4294967112,5,0,1,4097,467013,4203767,8,34410,34421,4
124,124,34660,4203676,25212636,139698204562944.0,140731406239840,140731406239648,100,139698204554912.0,8.0,514,4203676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1905431,4203676,25,34660,34660,2
125,125,34971,4203696,25212646,139698204562972.0,140731406239840,140731406239648,100,9.0,25.0,514,4203696,140731406239796,4,3246391296,4294967252,0,0,1,0,0,0,0,0,0,0,96,460206,4203696,100,34971,34971,4
126,126,34997,4203687,25212647,139698204562964.0,140731406239840,140731406239648,100,4.0,16.0,514,4203687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,929906,4203687,9,34997,34997,4
127,127,35692,4203687,25212670,139698204562972.0,140731406239840,140731406239648,100,4294967293.0,4.0,514,4203687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,929952,4203687,9,35692,35692,3
